id,created_at,text,hashtags,media_url
1568823871159128064,2022-09-11 04:48:52+00:00,b'Nate Diaz says he\xe2\x80\x99s going into the sport of boxing. https://t.co/wZoKkDbN2s',[],http://pbs.twimg.com/ext_tw_video_thumb/1568823818105266177/pu/img/aoy46Ye1Ek4AiQqS.jpg
1568289500224229376,2022-09-09 17:25:28+00:00,b'How it started vs. How it\xe2\x80\x99s going\xe2\x80\xa6 fun fact Anderson was the only celebrity I ever met before moving to La. He was randomly in Ohio at a local MMA fight and I flirted with the ring card girl who brought us on stage to meet him\xe2\x80\xa6 life is trippy. https://t.co/nblfhipn1x',[],http://pbs.twimg.com/media/FcOu_HFXEAAcFwx.jpg
1567860444664152064,2022-09-08 13:00:34+00:00,b'Everybody has an opinion\xe2\x80\xa6at least this one has some credibility. #PaulSilva https://t.co/5S1ZcyGlKR',"[{'text': 'PaulSilva', 'indices': [65, 75]}]",http://pbs.twimg.com/ext_tw_video_thumb/1567860398241579008/pu/img/jijkmmTykdDMjxA_.jpg
1567181887352733703,2022-09-06 16:04:13+00:00,"b'My toughest test yet. I respect the legend, but he must be exterminated. \n\n@MostVpromotions presents #PaulSilva from Phoenix, AZ @GilaRiverArena \n\nSAT OCT 29th live on Showtime PPV @ShowtimeBoxing \n\nMeu teste mais dif\xc3\xadcil ainda. Eu respeito a lenda, mas ele deve ser exterminado. https://t.co/en6qerCQ4B'","[{'text': 'PaulSilva', 'indices': [101, 111]}]",http://pbs.twimg.com/media/Fb-_noGWQAEU8yi.jpg
1566536643917512706,2022-09-04 21:20:15+00:00,b'Who does this remind you of in the boxing ring? I know who \xf0\x9f\xa4\xa3\n\n https://t.co/l9iHs67mFV',[],http://pbs.twimg.com/ext_tw_video_thumb/1448364053957525505/pu/img/QojzhMsWWW595Z_Y.jpg
1566160025441243138,2022-09-03 20:23:42+00:00,b'Wtf Tyreek\xe2\x80\xa6 @BSJakePaul https://t.co/kaSkE7OM3Y',[],http://pbs.twimg.com/ext_tw_video_thumb/1566159919707045896/pu/img/NhKO6_MV41nHv2oN.jpg
1565776824512258048,2022-09-02 19:01:00+00:00,b'Sounds like an ex who still isn\xe2\x80\x99t able to get over you. Why so angry? Turning red. \n\nTo all MMA media\xe2\x80\xa6you can ask me anything you want. That\xe2\x80\x99s your job and I respect it. https://t.co/CzLlEhODzy',[],http://pbs.twimg.com/ext_tw_video_thumb/1565776773824106501/pu/img/bOWwiBe4rBvDa95P.jpg
1565518966260383746,2022-09-02 01:56:22+00:00,b'Go peep\n\n\xf0\x9f\x91\x87\xf0\x9f\x8f\xbc\xf0\x9f\x91\x87\xf0\x9f\x8f\xbc\xf0\x9f\x91\x87\xf0\x9f\x8f\xbc\n\nhttps://t.co/4zQelrQL64 https://t.co/Kj2GUxWubu',[],http://pbs.twimg.com/media/FbnXM57WYAU_sbt.jpg
1565431919218679809,2022-09-01 20:10:28+00:00,b'who ready? https://t.co/PCqyxt8WK9',[],http://pbs.twimg.com/ext_tw_video_thumb/1565431710925340674/pu/img/o9Tgo51RA7nY2dOY.jpg
1565145598180876288,2022-09-01 01:12:44+00:00,b'Exactly how I felt when Serena just won that game. Vintage. 4 points to go. Let\xe2\x80\x99s go legend! #Olympia https://t.co/7bw9xAWUvP',"[{'text': 'Olympia', 'indices': [93, 101]}]",http://pbs.twimg.com/media/FbiDoFKXgAMIsCO.jpg
